date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
94,2015-10-22,Arizona Coyotes,New York Rangers,1,4,
95,2015-10-22,New Jersey Devils,Ottawa Senators,5,4,SO
96,2015-10-22,Dallas Stars,Pittsburgh Penguins,4,1,
97,2015-10-22,Los Angeles Kings,San Jose Sharks,4,1,
98,2015-10-22,Washington Capitals,Vancouver Canucks,3,2,
99,2015-10-23,Montreal Canadiens,Buffalo Sabres,7,2,
100,2015-10-23,Detroit Red Wings,Calgary Flames,2,3,OT
101,2015-10-23,Washington Capitals,Edmonton Oilers,7,4,
102,2015-10-23,Carolina Hurricanes,Los Angeles Kings,0,3,
103,2015-10-23,Boston Bruins,New York Islanders,5,3,
104,2015-10-23,Tampa Bay Lightning,Winnipeg Jets,4,3,OT
105,2015-10-24,New Jersey Devils,Buffalo Sabres,4,3,
106,2015-10-24,Tampa Bay Lightning,Chicago Blackhawks,0,1,OT
107,2015-10-24,Columbus Blue Jackets,Colorado Avalanche,4,3,
108,2015-10-24,Florida Panthers,Dallas Stars,6,2,
109,2015-10-24,Anaheim Ducks,Minnesota Wild,0,3,
110,2015-10-24,Toronto Maple Leafs,Montreal Canadiens,3,5,
111,2015-10-24,Pittsburgh Penguins,Nashville Predators,2,1,OT
112,2015-10-24,Arizona Coyotes,Ottawa Senators,4,1,
113,2015-10-24,New York Rangers,Philadelphia Flyers,2,3,SO
114,2015-10-24,Carolina Hurricanes,San Jose Sharks,2,5,
115,2015-10-24,New York Islanders,St. Louis Blues,3,2,OT
116,2015-10-24,Detroit Red Wings,Vancouver Canucks,3,2,OT
117,2015-10-25,Los Angeles Kings,Edmonton Oilers,3,2,
118,2015-10-25,Calgary Flames,New York Rangers,1,4,
119,2015-10-25,Minnesota Wild,Winnipeg Jets,4,5,
120,2015-10-26,Anaheim Ducks,Chicago Blackhawks,0,1,OT
121,2015-10-26,Calgary Flames,New York Islanders,0,4,
122,2015-10-26,Arizona Coyotes,Toronto Maple Leafs,4,3,
123,2015-10-27,Arizona Coyotes,Boston Bruins,0,6,
124,2015-10-27,Anaheim Ducks,Dallas Stars,3,4,
125,2015-10-27,Carolina Hurricanes,Detroit Red Wings,3,1,
126,2015-10-27,Colorado Avalanche,Florida Panthers,1,4,
127,2015-10-27,Edmonton Oilers,Minnesota Wild,3,4,
128,2015-10-27,Columbus Blue Jackets,New Jersey Devils,3,1,
129,2015-10-27,Buffalo Sabres,Philadelphia Flyers,4,3,OT
130,2015-10-27,Tampa Bay Lightning,St. Louis Blues,0,2,
131,2015-10-27,Montreal Canadiens,Vancouver Canucks,1,5,
132,2015-10-27,Los Angeles Kings,Winnipeg Jets,4,1,
133,2015-10-28,Calgary Flames,Ottawa Senators,4,5,SO
134,2015-10-28,Nashville Predators,San Jose Sharks,2,1,
135,2015-10-28,Pittsburgh Penguins,Washington Capitals,3,1,
136,2015-10-29,Vancouver Canucks,Dallas Stars,3,4,OT
137,2015-10-29,Montreal Canadiens,Edmonton Oilers,3,4,
138,2015-10-29,Carolina Hurricanes,New York Islanders,3,2,OT
139,2015-10-29,New Jersey Devils,Philadelphia Flyers,4,1,
140,2015-10-29,Buffalo Sabres,Pittsburgh Penguins,3,4,
141,2015-10-29,Anaheim Ducks,St. Louis Blues,1,2,
142,2015-10-29,Colorado Avalanche,Tampa Bay Lightning,2,1,
143,2015-10-29,Chicago Blackhawks,Winnipeg Jets,1,3,
144,2015-10-30,Vancouver Canucks,Arizona Coyotes,4,3,
145,2015-10-30,Philadelphia Flyers,Buffalo Sabres,1,3,
146,2015-10-30,Colorado Avalanche,Carolina Hurricanes,2,3,
147,2015-10-30,Montreal Canadiens,Calgary Flames,6,2,
148,2015-10-30,Ottawa Senators,Detroit Red Wings,3,1,
149,2015-10-30,Boston Bruins,Florida Panthers,3,1,
150,2015-10-30,Chicago Blackhawks,Minnesota Wild,4,5,
151,2015-10-30,Toronto Maple Leafs,New York Rangers,1,3,
152,2015-10-30,Columbus Blue Jackets,Washington Capitals,1,2,
153,2015-10-31,Winnipeg Jets,Columbus Blue Jackets,3,2,
154,2015-10-31,San Jose Sharks,Dallas Stars,3,5,
155,2015-10-31,Calgary Flames,Edmonton Oilers,5,4,
156,2015-10-31,Washington Capitals,Florida Panthers,2,1,OT
157,2015-10-31,Nashville Predators,Los Angeles Kings,3,4,OT
158,2015-10-31,New York Islanders,New Jersey Devils,2,3,SO
159,2015-10-31,Detroit Red Wings,Ottawa Senators,5,3,
160,2015-10-31,Minnesota Wild,St. Louis Blues,2,3,OT
161,2015-10-31,Boston Bruins,Tampa Bay Lightning,3,1,
162,2015-10-31,Pittsburgh Penguins,Toronto Maple Leafs,4,0,
163,2015-11-01,Nashville Predators,Anaheim Ducks,2,4,
164,2015-11-01,Tampa Bay Lightning,Carolina Hurricanes,4,3,
165,2015-11-01,San Jose Sharks,Colorado Avalanche,4,3,
166,2015-11-01,Winnipeg Jets,Montreal Canadiens,1,5,
167,2015-11-01,Buffalo Sabres,New York Islanders,2,1,
168,2015-11-02,Los Angeles Kings,Chicago Blackhawks,2,4,
169,2015-11-02,Dallas Stars,Toronto Maple Leafs,1,4,
170,2015-11-02,Philadelphia Flyers,Vancouver Canucks,1,4,
171,2015-11-03,Dallas Stars,Boston Bruins,5,3,
172,2015-11-03,Calgary Flames,Colorado Avalanche,3,6,
173,2015-11-03,Tampa Bay Lightning,Detroit Red Wings,1,2,
174,2015-11-03,Philadelphia Flyers,Edmonton Oilers,2,4,
175,2015-11-03,Ottawa Senators,Montreal Canadiens,2,1,OT
176,2015-11-03,New Jersey Devils,New York Islanders,1,2,
177,2015-11-03,Washington Capitals,New York Rangers,2,5,
