date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
2018-01-25,Toronto Maple Leafs,Dallas Stars,4,1,
2018-01-25,Chicago Blackhawks,Detroit Red Wings,5,1,
2018-01-25,Calgary Flames,Edmonton Oilers,3,4,SO
2018-01-25,Washington Capitals,Florida Panthers,4,2,
2018-01-25,Carolina Hurricanes,Montreal Canadiens,6,5,
2018-01-25,Nashville Predators,New Jersey Devils,3,0,
2018-01-25,Boston Bruins,Ottawa Senators,3,2,
2018-01-25,Tampa Bay Lightning,Philadelphia Flyers,5,1,
2018-01-25,Minnesota Wild,Pittsburgh Penguins,3,6,
2018-01-25,New York Rangers,San Jose Sharks,6,5,
2018-01-25,Colorado Avalanche,St. Louis Blues,1,3,
2018-01-25,Buffalo Sabres,Vancouver Canucks,4,0,
2018-01-25,New York Islanders,Vegas Golden Knights,2,1,
2018-01-30,Anaheim Ducks,Boston Bruins,3,1,
2018-01-30,New Jersey Devils,Buffalo Sabres,3,1,
2018-01-30,Ottawa Senators,Carolina Hurricanes,1,2,
2018-01-30,Minnesota Wild,Columbus Blue Jackets,3,2,SO
2018-01-30,Vegas Golden Knights,Calgary Flames,4,2,
2018-01-30,Los Angeles Kings,Dallas Stars,3,0,
2018-01-30,Chicago Blackhawks,Nashville Predators,2,1,
2018-01-30,Florida Panthers,New York Islanders,4,1,
2018-01-30,San Jose Sharks,Pittsburgh Penguins,2,5,
2018-01-30,Montreal Canadiens,St. Louis Blues,1,3,
2018-01-30,Colorado Avalanche,Vancouver Canucks,3,4,OT
2018-01-30,Tampa Bay Lightning,Winnipeg Jets,1,3,
2018-01-31,San Jose Sharks,Detroit Red Wings,1,2,SO
2018-01-31,New York Islanders,Toronto Maple Leafs,0,5,
2018-01-31,Philadelphia Flyers,Washington Capitals,3,5,
2018-02-01,Dallas Stars,Arizona Coyotes,4,1,
2018-02-01,St. Louis Blues,Boston Bruins,1,3,
2018-02-01,Florida Panthers,Buffalo Sabres,4,2,
2018-02-01,Montreal Canadiens,Carolina Hurricanes,0,2,
2018-02-01,Tampa Bay Lightning,Calgary Flames,7,4,
2018-02-01,Colorado Avalanche,Edmonton Oilers,4,3,OT
2018-02-01,Philadelphia Flyers,New Jersey Devils,3,4,
2018-02-01,Los Angeles Kings,Nashville Predators,0,5,
2018-02-01,Toronto Maple Leafs,New York Rangers,4,0,
2018-02-01,Anaheim Ducks,Ottawa Senators,1,2,OT
2018-02-01,Chicago Blackhawks,Vancouver Canucks,2,4,
2018-02-01,Vegas Golden Knights,Winnipeg Jets,3,2,OT
2018-02-02,Detroit Red Wings,Carolina Hurricanes,4,1,
2018-02-02,San Jose Sharks,Columbus Blue Jackets,3,1,
2018-02-02,Vegas Golden Knights,Minnesota Wild,2,5,
2018-02-02,Washington Capitals,Pittsburgh Penguins,4,7,
2018-02-03,Toronto Maple Leafs,Boston Bruins,1,4,
2018-02-03,St. Louis Blues,Buffalo Sabres,1,0,
2018-02-03,Chicago Blackhawks,Calgary Flames,3,4,OT
2018-02-03,Minnesota Wild,Dallas Stars,1,6,
2018-02-03,Detroit Red Wings,Florida Panthers,2,3,
2018-02-03,Arizona Coyotes,Los Angeles Kings,0,6,
2018-02-03,Anaheim Ducks,Montreal Canadiens,2,5,
2018-02-03,Pittsburgh Penguins,New Jersey Devils,1,3,
2018-02-03,New York Rangers,Nashville Predators,2,5,
2018-02-03,Columbus Blue Jackets,New York Islanders,3,4,
2018-02-03,Ottawa Senators,Philadelphia Flyers,4,3,SO
2018-02-03,Tampa Bay Lightning,Vancouver Canucks,4,2,
2018-02-03,Colorado Avalanche,Winnipeg Jets,0,3,
2018-02-04,San Jose Sharks,Carolina Hurricanes,3,1,
2018-02-04,Ottawa Senators,Montreal Canadiens,1,4,
2018-02-04,Vegas Golden Knights,Washington Capitals,4,3,
2018-02-05,New York Rangers,Dallas Stars,1,2,
2018-02-05,Tampa Bay Lightning,Edmonton Oilers,2,6,
2018-02-05,Nashville Predators,New York Islanders,5,4,OT
2018-02-05,Anaheim Ducks,Toronto Maple Leafs,4,7,
2018-02-06,Anaheim Ducks,Buffalo Sabres,4,3,OT
2018-02-06,Philadelphia Flyers,Carolina Hurricanes,2,1,OT
2018-02-06,Washington Capitals,Columbus Blue Jackets,3,2,
2018-02-06,Calgary Flames,Chicago Blackhawks,3,2,
2018-02-06,San Jose Sharks,Colorado Avalanche,1,3,
2018-02-06,Boston Bruins,Detroit Red Wings,3,2,
2018-02-06,Vancouver Canucks,Florida Panthers,1,3,
2018-02-06,New Jersey Devils,Ottawa Senators,3,5,
2018-02-06,Vegas Golden Knights,Pittsburgh Penguins,4,5,
2018-02-06,Minnesota Wild,St. Louis Blues,6,2,
2018-02-06,Arizona Coyotes,Winnipeg Jets,3,4,
2018-02-07,Edmonton Oilers,Los Angeles Kings,2,5,
2018-02-07,Boston Bruins,New York Rangers,6,1,
2018-02-07,Nashville Predators,Toronto Maple Leafs,2,3,SO
2018-02-08,New York Islanders,Buffalo Sabres,3,4,
2018-02-08,Dallas Stars,Chicago Blackhawks,4,2,
2018-02-08,Arizona Coyotes,Minnesota Wild,4,3,OT
2018-02-08,Calgary Flames,New Jersey Devils,3,2,
2018-02-08,Nashville Predators,Ottawa Senators,3,4,OT
2018-02-08,Montreal Canadiens,Philadelphia Flyers,3,5,
2018-02-08,Vegas Golden Knights,San Jose Sharks,5,3,
2018-02-08,Colorado Avalanche,St. Louis Blues,1,6,
2018-02-08,Vancouver Canucks,Tampa Bay Lightning,2,5,
2018-02-09,Edmonton Oilers,Anaheim Ducks,2,3,
2018-02-09,Vancouver Canucks,Carolina Hurricanes,1,4,
2018-02-09,Pittsburgh Penguins,Dallas Stars,3,4,SO
2018-02-09,Los Angeles Kings,Florida Panthers,3,1,
2018-02-09,Detroit Red Wings,New York Islanders,6,7,OT
2018-02-09,Calgary Flames,New York Rangers,3,4,
2018-02-09,St. Louis Blues,Winnipeg Jets,5,2,
2018-02-09,Columbus Blue Jackets,Washington Capitals,2,4,
2018-02-10,Philadelphia Flyers,Arizona Coyotes,4,3,SO
2018-02-10,Buffalo Sabres,Boston Bruins,4,2,
2018-02-10,Colorado Avalanche,Carolina Hurricanes,1,3,
2018-02-10,New Jersey Devils,Columbus Blue Jackets,1,6,
2018-02-10,Chicago Blackhawks,Minnesota Wild,0,3,
2018-02-10,Nashville Predators,Montreal Canadiens,3,2,SO
2018-02-10,Edmonton Oilers,San Jose Sharks,4,6,
2018-02-10,Los Angeles Kings,Tampa Bay Lightning,3,4,
2018-02-10,Ottawa Senators,Toronto Maple Leafs,3,6,
2018-02-11,San Jose Sharks,Anaheim Ducks,3,2,SO
2018-02-11,Colorado Avalanche,Buffalo Sabres,5,4,
2018-02-11,Vancouver Canucks,Dallas Stars,6,0,
2018-02-11,Boston Bruins,New Jersey Devils,5,3,
2018-02-11,Calgary Flames,New York Islanders,3,2,
2018-02-11,Pittsburgh Penguins,St. Louis Blues,4,1,
2018-02-11,Philadelphia Flyers,Vegas Golden Knights,4,1,
2018-02-11,New York Rangers,Winnipeg Jets,3,1,
2018-02-11,Detroit Red Wings,Washington Capitals,5,4,OT
2018-02-12,Chicago Blackhawks,Arizona Coyotes,1,6,
2018-02-12,Florida Panthers,Edmonton Oilers,7,5,
2018-02-12,Tampa Bay Lightning,Toronto Maple Leafs,3,4,
2018-02-13,Calgary Flames,Boston Bruins,2,5,
2018-02-13,Tampa Bay Lightning,Buffalo Sabres,3,5,
2018-02-13,Los Angeles Kings,Carolina Hurricanes,3,7,
2018-02-13,Anaheim Ducks,Detroit Red Wings,1,2,
2018-02-13,New York Rangers,Minnesota Wild,2,3,
2018-02-13,St. Louis Blues,Nashville Predators,3,4,OT
2018-02-13,Columbus Blue Jackets,New York Islanders,4,1,
2018-02-13,New Jersey Devils,Philadelphia Flyers,5,4,SO
2018-02-13,Ottawa Senators,Pittsburgh Penguins,3,6,
2018-02-13,Arizona Coyotes,San Jose Sharks,2,1,
2018-02-13,Chicago Blackhawks,Vegas Golden Knights,2,5,
2018-02-13,Washington Capitals,Winnipeg Jets,3,4,OT
2018-02-14,Montreal Canadiens,Colorado Avalanche,0,2,
2018-02-14,Columbus Blue Jackets,Toronto Maple Leafs,3,6,
2018-02-14,Florida Panthers,Vancouver Canucks,4,3,
2018-02-15,Montreal Canadiens,Arizona Coyotes,2,5,
2018-02-15,Anaheim Ducks,Chicago Blackhawks,3,2,
2018-02-15,Washington Capitals,Minnesota Wild,5,2,
2018-02-15,Carolina Hurricanes,New Jersey Devils,2,5,
2018-02-15,Calgary Flames,Nashville Predators,4,3,
2018-02-15,New York Rangers,New York Islanders,0,3,
2018-02-15,Buffalo Sabres,Ottawa Senators,2,3,OT
2018-02-15,Los Angeles Kings,Pittsburgh Penguins,1,3,
2018-02-15,Vancouver Canucks,San Jose Sharks,1,4,
2018-02-15,Detroit Red Wings,Tampa Bay Lightning,1,4,
2018-02-15,Edmonton Oilers,Vegas Golden Knights,1,4,
2018-02-16,New York Islanders,Carolina Hurricanes,3,0,
2018-02-16,Philadelphia Flyers,Columbus Blue Jackets,2,1,OT
2018-02-16,St. Louis Blues,Dallas Stars,1,2,
2018-02-16,Colorado Avalanche,Winnipeg Jets,1,6,
2018-02-17,Edmonton Oilers,Arizona Coyotes,0,1,
2018-02-17,Los Angeles Kings,Buffalo Sabres,4,2,
2018-02-17,Florida Panthers,Calgary Flames,6,3,
2018-02-17,Washington Capitals,Chicago Blackhawks,1,7,
2018-02-17,Anaheim Ducks,Minnesota Wild,3,2,SO
2018-02-17,Detroit Red Wings,Nashville Predators,3,1,
2018-02-17,New York Rangers,Ottawa Senators,3,6,
2018-02-17,Toronto Maple Leafs,Pittsburgh Penguins,3,5,
2018-02-17,New Jersey Devils,Tampa Bay Lightning,4,3,
2018-02-17,Boston Bruins,Vancouver Canucks,1,6,
2018-02-17,Montreal Canadiens,Vegas Golden Knights,3,6,
2018-02-18,New Jersey Devils,Carolina Hurricanes,3,2,OT
2018-02-18,Pittsburgh Penguins,Columbus Blue Jackets,5,2,
2018-02-18,Edmonton Oilers,Colorado Avalanche,4,2,
2018-02-18,Toronto Maple Leafs,Detroit Red Wings,3,2,
2018-02-18,Philadelphia Flyers,New York Rangers,7,4,
2018-02-18,Dallas Stars,San Jose Sharks,2,5,
2018-02-18,Florida Panthers,Winnipeg Jets,2,7,
2018-02-19,Washington Capitals,Buffalo Sabres,3,2,
2018-02-19,Boston Bruins,Calgary Flames,2,1,OT
2018-02-19,Los Angeles Kings,Chicago Blackhawks,3,1,
2018-02-19,Ottawa Senators,Nashville Predators,2,5,
2018-02-19,Minnesota Wild,New York Islanders,5,3,
2018-02-19,Anaheim Ducks,Vegas Golden Knights,2,0,
2018-02-20,Nashville Predators,Detroit Red Wings,3,2,
2018-02-20,Boston Bruins,Edmonton Oilers,3,2,
2018-02-20,Columbus Blue Jackets,New Jersey Devils,2,1,
2018-02-20,Montreal Canadiens,Philadelphia Flyers,2,3,OT
2018-02-20,San Jose Sharks,St. Louis Blues,3,2,
2018-02-20,Florida Panthers,Toronto Maple Leafs,0,1,
2018-02-20,Colorado Avalanche,Vancouver Canucks,5,4,OT
2018-02-20,Los Angeles Kings,Winnipeg Jets,4,3,
2018-02-20,Tampa Bay Lightning,Washington Capitals,4,2,
2018-02-21,Dallas Stars,Anaheim Ducks,0,2,
2018-02-21,Ottawa Senators,Chicago Blackhawks,2,3,SO
2018-02-21,Calgary Flames,Vegas Golden Knights,3,7,
2018-02-22,Calgary Flames,Arizona Coyotes,5,2,
2018-02-22,Buffalo Sabres,Detroit Red Wings,3,2,OT
2018-02-22,Colorado Avalanche,Edmonton Oilers,2,3,OT
2018-02-22,Washington Capitals,Florida Panthers,2,3,
2018-02-22,Dallas Stars,Los Angeles Kings,2,0,
2018-02-22,New York Rangers,Montreal Canadiens,1,3,
2018-02-22,Minnesota Wild,New Jersey Devils,4,2,
2018-02-22,San Jose Sharks,Nashville Predators,1,7,
2018-02-22,Tampa Bay Lightning,Ottawa Senators,4,3,
2018-02-22,Columbus Blue Jackets,Philadelphia Flyers,1,2,
2018-02-22,New York Islanders,Toronto Maple Leafs,3,4,SO
2018-02-23,Pittsburgh Penguins,Carolina Hurricanes,6,1,
2018-02-23,San Jose Sharks,Chicago Blackhawks,1,3,
2018-02-23,Minnesota Wild,New York Rangers,4,1,
2018-02-23,Winnipeg Jets,St. Louis Blues,4,0,
2018-02-23,Vancouver Canucks,Vegas Golden Knights,3,6,
2018-02-24,Anaheim Ducks,Arizona Coyotes,0,2,
2018-02-24,Chicago Blackhawks,Columbus Blue Jackets,2,3,
2018-02-24,Colorado Avalanche,Calgary Flames,1,5,
2018-02-24,Winnipeg Jets,Dallas Stars,5,3,
2018-02-24,Carolina Hurricanes,Detroit Red Wings,1,3,
2018-02-24,Pittsburgh Penguins,Florida Panthers,5,6,
2018-02-24,Edmonton Oilers,Los Angeles Kings,4,3,
2018-02-24,Tampa Bay Lightning,Montreal Canadiens,4,3,SO
2018-02-24,New York Islanders,New Jersey Devils,1,2,
2018-02-24,Philadelphia Flyers,Ottawa Senators,5,3,
2018-02-24,Boston Bruins,Toronto Maple Leafs,3,4,
2018-02-24,Buffalo Sabres,Washington Capitals,1,5,
2018-02-25,Edmonton Oilers,Anaheim Ducks,6,5,SO
2018-02-25,Vancouver Canucks,Arizona Coyotes,3,1,
2018-02-25,Boston Bruins,Buffalo Sabres,1,4,
2018-02-25,San Jose Sharks,Minnesota Wild,2,3,OT
2018-02-25,St. Louis Blues,Nashville Predators,0,4,
2018-02-25,Detroit Red Wings,New York Rangers,3,2,OT
2018-02-26,Washington Capitals,Columbus Blue Jackets,1,5,
2018-02-26,Vancouver Canucks,Colorado Avalanche,1,3,
2018-02-26,Vegas Golden Knights,Los Angeles Kings,2,3,OT
2018-02-26,Philadelphia Flyers,Montreal Canadiens,1,0,SO
2018-02-26,Toronto Maple Leafs,Tampa Bay Lightning,3,4,SO
2018-02-27,Carolina Hurricanes,Boston Bruins,3,4,OT
2018-02-27,Calgary Flames,Dallas Stars,0,2,
2018-02-27,Toronto Maple Leafs,Florida Panthers,2,3,OT
2018-02-27,St. Louis Blues,Minnesota Wild,3,8,
2018-02-27,New Jersey Devils,Pittsburgh Penguins,3,2,
2018-02-27,Edmonton Oilers,San Jose Sharks,2,5,
2018-02-27,Los Angeles Kings,Vegas Golden Knights,4,1,
2018-02-27,Nashville Predators,Winnipeg Jets,6,5,
2018-02-27,Ottawa Senators,Washington Capitals,2,3,
2018-02-28,Calgary Flames,Colorado Avalanche,2,5,
2018-02-28,New York Islanders,Montreal Canadiens,1,3,
2018-02-28,Detroit Red Wings,St. Louis Blues,1,2,
2018-02-28,Buffalo Sabres,Tampa Bay Lightning,2,1,OT
2018-02-28,New York Rangers,Vancouver Canucks,6,5,OT
2018-03-01,Minnesota Wild,Arizona Coyotes,3,5,
2018-03-01,Pittsburgh Penguins,Boston Bruins,4,8,
2018-03-01,Tampa Bay Lightning,Dallas Stars,5,4,OT
2018-03-01,Nashville Predators,Edmonton Oilers,4,2,
2018-03-01,New Jersey Devils,Florida Panthers,2,3,
2018-03-01,Columbus Blue Jackets,Los Angeles Kings,2,5,
2018-03-01,Carolina Hurricanes,Philadelphia Flyers,4,1,
2018-03-01,Chicago Blackhawks,San Jose Sharks,2,7,
2018-03-02,Columbus Blue Jackets,Anaheim Ducks,2,4,
2018-03-02,New Jersey Devils,Carolina Hurricanes,1,3,
2018-03-02,New York Rangers,Calgary Flames,3,1,
2018-03-02,Minnesota Wild,Colorado Avalanche,1,7,
2018-03-02,Buffalo Sabres,Florida Panthers,1,4,
2018-03-02,Montreal Canadiens,New York Islanders,6,3,
2018-03-02,Nashville Predators,Vancouver Canucks,4,3,OT
2018-03-02,Ottawa Senators,Vegas Golden Knights,5,4,
2018-03-02,Detroit Red Wings,Winnipeg Jets,3,4,
2018-03-03,Ottawa Senators,Arizona Coyotes,1,2,
2018-03-03,Montreal Canadiens,Boston Bruins,1,2,OT
2018-03-03,St. Louis Blues,Dallas Stars,2,3,OT
2018-03-03,New York Rangers,Edmonton Oilers,3,2,
2018-03-03,Chicago Blackhawks,Los Angeles Kings,5,3,
2018-03-03,New York Islanders,Pittsburgh Penguins,2,3,OT
2018-03-03,Philadelphia Flyers,Tampa Bay Lightning,6,7,SO
2018-03-03,Toronto Maple Leafs,Washington Capitals,2,5,
2018-03-04,Chicago Blackhawks,Anaheim Ducks,3,6,
2018-03-04,Winnipeg Jets,Carolina Hurricanes,3,2,
2018-03-04,Nashville Predators,Colorado Avalanche,4,3,OT
2018-03-04,Philadelphia Flyers,Florida Panthers,1,4,
2018-03-04,Detroit Red Wings,Minnesota Wild,1,4,
2018-03-04,Vegas Golden Knights,New Jersey Devils,3,2,
2018-03-04,Columbus Blue Jackets,San Jose Sharks,4,2,
2018-03-05,Toronto Maple Leafs,Buffalo Sabres,3,5,
2018-03-05,Ottawa Senators,Dallas Stars,3,2,OT
2018-03-05,Arizona Coyotes,Edmonton Oilers,3,4,OT
2018-03-05,Calgary Flames,Pittsburgh Penguins,3,4,OT
2018-03-05,New York Islanders,Vancouver Canucks,3,4,OT
2018-03-06,Washington Capitals,Anaheim Ducks,0,4,
2018-03-06,Detroit Red Wings,Boston Bruins,5,6,OT
2018-03-06,Vegas Golden Knights,Columbus Blue Jackets,1,4,
2018-03-06,Colorado Avalanche,Chicago Blackhawks,1,2,OT
2018-03-06,Carolina Hurricanes,Minnesota Wild,2,6,
2018-03-06,Montreal Canadiens,New Jersey Devils,4,6,
2018-03-06,Dallas Stars,Nashville Predators,0,2,
2018-03-06,Winnipeg Jets,New York Rangers,3,0,
2018-03-06,Florida Panthers,Tampa Bay Lightning,4,5,OT
2018-03-07,Calgary Flames,Buffalo Sabres,5,1,
2018-03-07,Pittsburgh Penguins,Philadelphia Flyers,5,2,
2018-03-07,Arizona Coyotes,Vancouver Canucks,2,1,
2018-03-08,Philadelphia Flyers,Boston Bruins,2,3,
2018-03-08,Colorado Avalanche,Columbus Blue Jackets,4,5,OT
2018-03-08,Carolina Hurricanes,Chicago Blackhawks,3,2,
2018-03-08,Vegas Golden Knights,Detroit Red Wings,4,0,
2018-03-08,New York Islanders,Edmonton Oilers,1,2,SO
2018-03-08,Montreal Canadiens,Florida Panthers,0,5,
2018-03-08,Washington Capitals,Los Angeles Kings,1,3,
2018-03-08,Winnipeg Jets,New Jersey Devils,3,2,
2018-03-08,Anaheim Ducks,Nashville Predators,2,4,
2018-03-08,Buffalo Sabres,Ottawa Senators,4,3,SO
2018-03-08,St. Louis Blues,San Jose Sharks,0,2,
2018-03-08,New York Rangers,Tampa Bay Lightning,3,5,
2018-03-09,Detroit Red Wings,Columbus Blue Jackets,2,3,
2018-03-09,Anaheim Ducks,Dallas Stars,1,2,
2018-03-09,Calgary Flames,Ottawa Senators,2,1,
2018-03-09,Minnesota Wild,Vancouver Canucks,5,2,
2018-03-10,Chicago Blackhawks,Boston Bruins,4,7,
2018-03-10,Vegas Golden Knights,Buffalo Sabres,2,1,SO
2018-03-10,Arizona Coyotes,Colorado Avalanche,2,5,
2018-03-10,Minnesota Wild,Edmonton Oilers,1,4,
2018-03-10,New York Rangers,Florida Panthers,3,4,SO
2018-03-10,St. Louis Blues,Los Angeles Kings,7,2,
2018-03-10,New Jersey Devils,Nashville Predators,3,2,SO
2018-03-10,Winnipeg Jets,Philadelphia Flyers,1,2,
2018-03-10,Washington Capitals,San Jose Sharks,2,0,
2018-03-10,Montreal Canadiens,Tampa Bay Lightning,2,3,SO
2018-03-10,Pittsburgh Penguins,Toronto Maple Leafs,2,5,
2018-03-11,Vancouver Canucks,Arizona Coyotes,0,1,
2018-03-11,New York Islanders,Calgary Flames,5,2,
2018-03-11,Boston Bruins,Chicago Blackhawks,1,3,
2018-03-11,Dallas Stars,Pittsburgh Penguins,1,3,
2018-03-12,St. Louis Blues,Anaheim Ducks,4,2,
2018-03-12,Montreal Canadiens,Columbus Blue Jackets,2,5,
2018-03-12,Ottawa Senators,Florida Panthers,5,3,
2018-03-12,Vancouver Canucks,Los Angeles Kings,0,3,
2018-03-12,Carolina Hurricanes,New York Rangers,3,6,
2018-03-12,Vegas Golden Knights,Philadelphia Flyers,3,2,
2018-03-12,Detroit Red Wings,San Jose Sharks,3,5,
2018-03-12,Winnipeg Jets,Washington Capitals,2,3,OT
2018-03-13,Los Angeles Kings,Arizona Coyotes,3,4,SO
2018-03-13,Boston Bruins,Carolina Hurricanes,6,4,
2018-03-13,Edmonton Oilers,Calgary Flames,0,1,
2018-03-13,Colorado Avalanche,Minnesota Wild,5,1,
2018-03-13,Dallas Stars,Montreal Canadiens,2,4,
2018-03-13,Winnipeg Jets,Nashville Predators,1,3,
2018-03-13,Ottawa Senators,Tampa Bay Lightning,7,4,
2018-03-14,Vancouver Canucks,Anaheim Ducks,0,3,
2018-03-14,San Jose Sharks,Edmonton Oilers,4,3,OT
2018-03-14,Pittsburgh Penguins,New York Rangers,3,4,OT
2018-03-14,Dallas Stars,Toronto Maple Leafs,5,6,SO
2018-03-14,New Jersey Devils,Vegas Golden Knights,8,3,
2018-03-15,Nashville Predators,Arizona Coyotes,3,2,
2018-03-15,Toronto Maple Leafs,Buffalo Sabres,5,2,
2018-03-15,Boston Bruins,Florida Panthers,0,3,
2018-03-15,Detroit Red Wings,Los Angeles Kings,1,4,
2018-03-15,Pittsburgh Penguins,Montreal Canadiens,5,3,
2018-03-15,Washington Capitals,New York Islanders,7,3,
2018-03-15,Columbus Blue Jackets,Philadelphia Flyers,5,3,
2018-03-15,Colorado Avalanche,St. Louis Blues,4,1,
2018-03-15,Chicago Blackhawks,Winnipeg Jets,2,6,
2018-03-16,Detroit Red Wings,Anaheim Ducks,2,4,
2018-03-16,San Jose Sharks,Calgary Flames,7,4,
2018-03-16,Nashville Predators,Colorado Avalanche,4,2,
2018-03-16,Dallas Stars,Ottawa Senators,2,3,OT
2018-03-16,Minnesota Wild,Vegas Golden Knights,4,2,
2018-03-16,New York Islanders,Washington Capitals,3,6,
2018-03-17,Minnesota Wild,Arizona Coyotes,3,1,
2018-03-17,Chicago Blackhawks,Buffalo Sabres,3,5,
2018-03-17,Philadelphia Flyers,Carolina Hurricanes,4,2,
2018-03-17,Ottawa Senators,Columbus Blue Jackets,1,2,
2018-03-17,Edmonton Oilers,Florida Panthers,4,2,
2018-03-17,New Jersey Devils,Los Angeles Kings,3,0,
2018-03-17,New York Rangers,St. Louis Blues,3,4,OT
2018-03-17,Boston Bruins,Tampa Bay Lightning,3,0,
2018-03-17,Montreal Canadiens,Toronto Maple Leafs,0,4,
2018-03-17,San Jose Sharks,Vancouver Canucks,5,3,
2018-03-18,New Jersey Devils,Anaheim Ducks,2,4,
2018-03-18,St. Louis Blues,Chicago Blackhawks,5,4,OT
2018-03-18,Detroit Red Wings,Colorado Avalanche,1,5,
2018-03-18,Carolina Hurricanes,New York Islanders,4,3,
2018-03-18,Washington Capitals,Philadelphia Flyers,3,6,
2018-03-18,Edmonton Oilers,Tampa Bay Lightning,1,3,
2018-03-18,Calgary Flames,Vegas Golden Knights,0,4,
2018-03-18,Dallas Stars,Winnipeg Jets,2,4,
2018-03-19,Calgary Flames,Arizona Coyotes,2,5,
2018-03-19,Columbus Blue Jackets,Boston Bruins,5,4,OT
2018-03-19,Nashville Predators,Buffalo Sabres,4,0,
2018-03-19,Los Angeles Kings,Minnesota Wild,4,3,OT
2018-03-19,Florida Panthers,Montreal Canadiens,2,0,
2018-03-20,Edmonton Oilers,Carolina Hurricanes,7,3,
2018-03-20,Colorado Avalanche,Chicago Blackhawks,5,1,
2018-03-20,Philadelphia Flyers,Detroit Red Wings,4,5,SO
2018-03-20,Pittsburgh Penguins,New York Islanders,1,4,
2018-03-20,Columbus Blue Jackets,New York Rangers,5,3,
2018-03-20,Florida Panthers,Ottawa Senators,7,2,
2018-03-20,New Jersey Devils,San Jose Sharks,2,6,
2018-03-20,Toronto Maple Leafs,Tampa Bay Lightning,3,4,
2018-03-20,Vancouver Canucks,Vegas Golden Knights,1,4,
2018-03-20,Los Angeles Kings,Winnipeg Jets,1,2,OT
2018-03-20,Dallas Stars,Washington Capitals,3,4,
2018-03-21,Arizona Coyotes,Buffalo Sabres,4,1,
2018-03-21,Anaheim Ducks,Calgary Flames,4,0,
2018-03-21,Montreal Canadiens,Pittsburgh Penguins,3,5,
2018-03-21,Boston Bruins,St. Louis Blues,1,2,OT
2018-03-22,Arizona Coyotes,Carolina Hurricanes,5,6,
2018-03-22,Florida Panthers,Columbus Blue Jackets,0,4,
2018-03-22,Vancouver Canucks,Chicago Blackhawks,5,2,
2018-03-22,Los Angeles Kings,Colorado Avalanche,7,1,
2018-03-22,Washington Capitals,Detroit Red Wings,1,0,
2018-03-22,Toronto Maple Leafs,Nashville Predators,5,2,
2018-03-22,Tampa Bay Lightning,New York Islanders,7,6,
2018-03-22,Edmonton Oilers,Ottawa Senators,6,2,
2018-03-22,New York Rangers,Philadelphia Flyers,3,4,
2018-03-22,Vegas Golden Knights,San Jose Sharks,1,2,OT
2018-03-23,Montreal Canadiens,Buffalo Sabres,3,0,
2018-03-23,Boston Bruins,Dallas Stars,3,2,
2018-03-23,New Jersey Devils,Pittsburgh Penguins,4,3,OT
2018-03-23,Vancouver Canucks,St. Louis Blues,1,4,
2018-03-23,Anaheim Ducks,Winnipeg Jets,2,3,OT
2018-03-24,St. Louis Blues,Columbus Blue Jackets,2,1,
2018-03-24,Vegas Golden Knights,Colorado Avalanche,1,2,SO
2018-03-24,Los Angeles Kings,Edmonton Oilers,2,3,
2018-03-24,Arizona Coyotes,Florida Panthers,2,4,
2018-03-24,Nashville Predators,Minnesota Wild,1,4,
2018-03-24,Washington Capitals,Montreal Canadiens,6,4,
2018-03-24,Tampa Bay Lightning,New Jersey Devils,1,2,
2018-03-24,Chicago Blackhawks,New York Islanders,3,1,
2018-03-24,Buffalo Sabres,New York Rangers,1,5,
2018-03-24,Carolina Hurricanes,Ottawa Senators,5,2,
2018-03-24,Calgary Flames,San Jose Sharks,1,5,
2018-03-24,Detroit Red Wings,Toronto Maple Leafs,3,4,
2018-03-25,Vancouver Canucks,Dallas Stars,4,1,
2018-03-25,Anaheim Ducks,Edmonton Oilers,5,4,OT
2018-03-25,Boston Bruins,Minnesota Wild,2,1,OT
2018-03-25,Philadelphia Flyers,Pittsburgh Penguins,4,5,OT
2018-03-25,Nashville Predators,Winnipeg Jets,4,5,SO
2018-03-26,Ottawa Senators,Carolina Hurricanes,1,4,
2018-03-26,San Jose Sharks,Chicago Blackhawks,4,3,SO
2018-03-26,Calgary Flames,Los Angeles Kings,0,3,
2018-03-26,Detroit Red Wings,Montreal Canadiens,2,4,
2018-03-26,Florida Panthers,New York Islanders,3,0,
2018-03-26,Washington Capitals,New York Rangers,4,2,
2018-03-26,Arizona Coyotes,Tampa Bay Lightning,4,1,
2018-03-26,Buffalo Sabres,Toronto Maple Leafs,3,2,
2018-03-26,Colorado Avalanche,Vegas Golden Knights,1,4,
2018-03-27,Philadelphia Flyers,Dallas Stars,2,3,OT
2018-03-27,Pittsburgh Penguins,Detroit Red Wings,2,5,
2018-03-27,Columbus Blue Jackets,Edmonton Oilers,7,3,
2018-03-27,Carolina Hurricanes,New Jersey Devils,3,4,
2018-03-27,Minnesota Wild,Nashville Predators,1,2,SO
2018-03-27,New York Islanders,Ottawa Senators,4,3,
2018-03-27,San Jose Sharks,St. Louis Blues,2,3,OT
2018-03-27,Anaheim Ducks,Vancouver Canucks,1,4,
2018-03-27,Boston Bruins,Winnipeg Jets,4,5,SO
2018-03-28,Philadelphia Flyers,Colorado Avalanche,2,1,
2018-03-28,Florida Panthers,Toronto Maple Leafs,3,4,
